id,likeNum,commentsLen,reposts_count,region,content,contentLen,created_at,type,detailUrl,authorAvatar,authorName,authorDetail,isVip,Sentiment
5030634668166539,337,7,0,广东,难怪王校长当年倾心她！谁Hold得了这份天然的美貌啊！33岁却似23岁，短裙配中筒靴，满满都是青春活力！身材更是没话说，真是羡慕嫉妒恨啊！ ​,130,2024-05-05,热门,https://weibo.com/5030634668166539/OcQWKygun,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006gAagBly8hkzhss8otmj30u00u0whl.jpg?KID=imgbed,tva&Expires=1714914028&ssig=FSAcQHu2c3",许筱菲,https://weibo.com/u/5741837645,1.0,正面
5030679282713127,294,118,16,四川,"一位19岁的女生自曝和来中国短期旅游的黒人同居，目前这位女生已经怀孕五个月。
还说那位的黑人“比较暴力”，而据她自己发的照片可以看到她腿上有未消的淤青…… 短期来旅游的黒人是否非法逗留？ ​",182,2024-05-05,热门,https://weibo.com/5030679282713127/OcS6IbnO7,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/008yMvg5ly8hjp1zn6z5fj30u00u0dhu.jpg?KID=imgbed,tva&Expires=1714914028&ssig=G6dbn0hql1",李戚同学,https://weibo.com/u/7843017985,1.0,负面
5023223416881540,4991,543,235,上海,都睡了吧 那我开始了！ ​,21,2024-04-15,热门,https://weibo.com/5023223416881540/O9K97sScA,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/a7c869e8ly8grtp0t4uoqj20u00u0789.jpg?KID=imgbed,tva&Expires=1714914028&ssig=Qx6cjQtXcl",MR-白冰,https://weibo.com/u/2814929384,0.0,正面
5022657334741968,8892,2069,162,北京,如果你正在逛小米之家，在留言区贴张照片 [酷][酷][酷] ​,51,2024-04-13,热门,https://weibo.com/5022657334741968/O9vq5jTBm,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/001Un9Srly8h3fpj11yjyj60u00u0q7f02.jpg?KID=imgbed,tva&Expires=1714914028&ssig=BTICjJ2pl4",雷军,https://weibo.com/u/1749127163,0.0,正面
5029494606269544,4393,272,9,广东,张杰快奔5的老人了，演唱会为什么要下油啊，看起来真脏 ​,51,2024-05-02,热门,https://weibo.com/5029494606269544/OcnhWqiZG,"https://tvax2.sinaimg.cn/crop.0.0.600.600.180/005CwuyDly8hcjem6esw2j30go0gognb.jpg?KID=imgbed,tva&Expires=1714914028&ssig=DHgDIB4Mt8",影视圈扒姐,https://weibo.com/u/5149908891,1.0,负面
5029850197000370,853,132,16,湖南,我和丈夫照顾了三年瘫痪的公公，上周公公突然去世。在整理公公的卧室时，我们在他的衣柜里发现了一张60万的存折。丈夫担心银行会知道公公去世的消息，所以想尽快把公公的钱取出来。然而，当他去银行取钱时，不仅没能取出钱，反而给自己带来了麻烦。我问丈夫怎么回事？只要不让银行知道公公去世，他就可 ​,1100,2024-05-03,热门,https://weibo.com/5029850197000370/Ocwxttn7c,"https://tvax4.sinaimg.cn/crop.0.0.960.960.180/0070XCsZly8hfhia4cp33j30qo0qo0ui.jpg?KID=imgbed,tva&Expires=1714914028&ssig=wEnoBLi0aP",懒猫-菇凉,https://weibo.com/u/6427139045,0.0,正面
5019501600705790,1604,256,44,上海,斌哥这是又化到缘了？背后可是大人物[喵喵] ​,40,2024-04-04,热门,https://weibo.com/5019501600705790/O8bkc2XBI,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/dc896f20ly8h0cmtx12lgj20u00u0jv9.jpg?KID=imgbed,tva&Expires=1714914028&ssig=E3Q3MwIrti",庞珅_shen,https://weibo.com/u/3699994400,1.0,正面
5030374111448836,71,14,1,湖北,Lisa和Lv三公子同台秀恩爱，两个人土得不相上下，Lv还是给其他代言人展示吧 ​,70,2024-05-04,热门,https://weibo.com/5030374111448836/OcKav64Uk,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/5d9f7b84ly8gdi6ney29rj20u00u0tar.jpg?KID=imgbed,tva&Expires=1714914028&ssig=zllTeY0VdX",潮流,https://weibo.com/u/1570732932,0.0,正面
5024791003662897,2313,252,65,江西,民国时期的中国和现在的日本韩国没啥区别，都是美国的半殖民地 ​,58,2024-04-19,热门,https://weibo.com/5024791003662897/OaoVufmSZ,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/0089kMRmly8glu78ylzexj30u00u0dgu.jpg?KID=imgbed,tva&Expires=1714914028&ssig=dRZAGQYTbA",军武吐槽,https://weibo.com/u/7467004060,1.0,正面
5027890909151318,1282,163,54,广东,买了布加迪，从海外运回来得有专门的木箱子，运费价格听说要3辆小米SU7……羡慕了 ​,76,2024-04-27,热门,https://weibo.com/5027890909151318/ObHzkCoFU,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/4060a1d1ly8g17eu39jf5j20ro0roact.jpg?KID=imgbed,tva&Expires=1714914028&ssig=s%2BuatuWsoK",OKei,https://weibo.com/u/1080074705,0.0,正面
5030624725306839,297,185,5,广东,"看了胖猫姐姐以前的微博，三观太正了。
如果你能把苹果手机换成华为那就更好了。
作为爱国者，我给大家科普一下，华为是民族品牌，而苹果是美国品牌。

#胖猫姐姐##胖猫事件##胖猫姐姐发声向大家征集证据材料# ​",194,2024-05-05,热门,https://weibo.com/5030624725306839/OcQGImgyb,"https://tvax3.sinaimg.cn/crop.0.0.306.306.180/e3f01925ly8hovctqbut3j208i08i3yq.jpg?KID=imgbed,tva&Expires=1714914031&ssig=jUfTaRp88r",爱国张慕斯,https://weibo.com/u/3824163109,1.0,正面
5030627676523682,294,103,67,四川,那年章子怡25岁，保罗沃克很廉价的感觉，保罗想索吻章子怡，被章子怡婉拒。 ​,70,2024-05-05,热门,https://weibo.com/5030627676523682/OcQLtrn6G,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/4e39f084jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1714914031&ssig=nfKT%2FSA2zY",娱乐圈探班,https://weibo.com/u/1312419972,0.0,负面
5027510271872348,943,79,12,河北,"高速服务区里，老大爷用自带的简易盆泡脚，我说大爷我能拍一下吗？大爷说没人认识我你随便拍[哈哈]
大爷说在全国自驾游，到服务区接点热水泡泡脚，没聊两句老伴来了。挺幸福，挺好[太阳] ​",173,2024-04-26,热门,https://weibo.com/5027510271872348/ObxFp7R5a,"https://tvax4.sinaimg.cn/crop.0.0.1125.1125.180/7c593396ly8fq28yzpy98j20v90v9dhn.jpg?KID=imgbed,tva&Expires=1714914031&ssig=QkX9z%2FeB0f",闫闯,https://weibo.com/u/2086220694,0.0,正面
5030455798140612,412,44,18,江苏,还以为我看错了… http://t.cn/A6H7VEEu ​,37,2024-05-04,热门,https://weibo.com/5030455798140612/OcMify9Kc,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/69465dd9ly8hddcda78jjj20u00u0dj3.jpg?KID=imgbed,tva&Expires=1714914031&ssig=RdwMcw5EXW",谭允颜,https://weibo.com/u/1766219225,0.0,负面
5030417566274683,822,212,5,广东,"大逆转！21岁重庆胖猫跳江反转！网友列出3大疑点，姐姐遭网爆
重庆21岁的胖猫，大家原本都以为他是因为感情受挫跳江自杀了，可没想到这事件居然反转了，搞得胖猫的姐姐被网友们一顿猛批，真是让人看了都生气！
首先，胖猫跳江的事儿，就让人觉得不对劲。官方通报说救了个21岁跳江的男子，可为啥胖猫跳 ​",871,2024-05-04,热门,https://weibo.com/5030417566274683/OcLiAqkkz,"https://tvax4.sinaimg.cn/crop.0.0.640.640.180/006qq7foly8hhuwmn475kj30hs0hs74i.jpg?KID=imgbed,tva&Expires=1714914031&ssig=qzRKjOX5Dj",财哥论股A,https://weibo.com/u/5887206118,0.0,负面
5029844731561426,98,35,28,安徽,马斯克的穿搭有种喜感 ​,20,2024-05-03,热门,https://weibo.com/5029844731561426/OcwoF6yci,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/007yFA9fly8hohegboapxj30u00u0wjk.jpg?KID=imgbed,tva&Expires=1714914031&ssig=ZfWz50IBOg",娱小音儿,https://weibo.com/u/6925235653,0.0,正面
5030670294058511,47,31,3,福建,无人机下的许广高速，建于2006年，这样的高架桥永远也不会塌方，很安全吧！ ​,70,2024-05-05,热门,https://weibo.com/5030670294058511/OcRSdh1NR,"https://tvax3.sinaimg.cn/crop.0.0.260.260.180/008saguxly8h01dbf09v4j307m078a9x.jpg?KID=imgbed,tva&Expires=1714914031&ssig=VSNSUBXPPZ",思想沸点,https://weibo.com/u/7745246741,0.0,正面
5030621613135063,791,52,10,江苏,为了炒作真的是没有下限…… http://t.cn/A6H7EMc2 ​,47,2024-05-05,热门,https://weibo.com/5030621613135063/OcQBHd9zx,"https://tvax1.sinaimg.cn/crop.0.0.1006.1006.180/002lSeH0ly8gu5257w9l4j60ry0rydi402.jpg?KID=imgbed,tva&Expires=1714914031&ssig=x%2FmhaBAxsn",谭妤伊,https://weibo.com/u/2155494914,0.0,负面
5030278018107535,611,201,17,山东,夜晚的小米和华为办公楼 ​,22,2024-05-04,热门,https://weibo.com/5030278018107535/OcHFvy18H,"https://tvax3.sinaimg.cn/crop.0.0.599.599.180/9bf6470dly1fes7tumqq5j20go0go7i8.jpg?KID=imgbed,tva&Expires=1714914031&ssig=5WiIZ%2F1d1N",科技房厂长,https://weibo.com/u/2616608525,0.0,正面
